city,date,aqi,quality_level,pm25,pm10,no2,so2,co,o3
北京,2026-01-01,30.0,excellent,12.0,27.0,24.0,3.0,0.45,30.0
北京,2026-01-02,39.0,excellent,21.0,39.0,30.0,3.0,0.53,28.0
北京,2026-01-03,54.0,good,30.0,53.0,43.0,3.0,0.69,18.0
北京,2026-01-04,56.0,good,35.0,62.0,45.0,4.0,0.78,17.0
北京,2026-01-05,45.0,excellent,25.0,45.0,36.0,4.0,0.67,29.0
北京,2026-01-06,41.0,excellent,19.0,41.0,24.0,4.0,0.49,43.0
北京,2026-01-07,31.0,excellent,11.0,25.0,20.0,3.0,0.38,47.0
北京,2026-01-08,56.0,good,30.0,62.0,45.0,3.0,0.65,20.0
北京,2026-01-09,76.0,good,42.0,102.0,43.0,4.0,0.7,26.0
北京,2026-01-10,32.0,excellent,5.0,29.0,3.0,3.0,0.3,62.0
北京,2026-01-11,31.0,excellent,11.0,31.0,12.0,3.0,0.4,47.0
北京,2026-01-12,54.0,good,23.0,57.0,35.0,3.0,0.57,26.0
北京,2026-01-13,32.0,excellent,14.0,32.0,26.0,4.0,0.47,45.0
北京,2026-01-14,60.0,good,38.0,71.0,48.0,3.0,0.78,14.0
北京,2026-01-15,94.0,good,70.0,136.0,56.0,3.0,0.94,14.0
北京,2026-01-16,58.0,good,33.0,65.0,24.0,3.0,0.62,41.0
北京,2026-01-17,28.0,excellent,11.0,26.0,15.0,4.0,0.49,49.0
北京,2026-01-18,36.0,excellent,21.0,36.0,18.0,3.0,0.58,43.0
北京,2026-01-19,30.0,excellent,6.0,15.0,6.0,3.0,0.38,56.0
北京,2026-01-20,27.0,excellent,9.0,20.0,15.0,2.0,0.4,46.0
北京,2026-01-21,26.0,excellent,11.0,22.0,19.0,2.0,0.38,44.0
北京,2026-01-22,42.0,excellent,18.0,35.0,34.0,3.0,0.53,26.0
北京,2026-01-23,44.0,excellent,24.0,44.0,35.0,3.0,0.59,28.0
北京,2026-01-24,50.0,excellent,22.0,41.0,40.0,3.0,0.57,26.0
北京,2026-01-25,40.0,excellent,23.0,40.0,27.0,4.0,0.57,44.0
北京,2026-01-26,60.0,good,38.0,71.0,32.0,3.0,0.58,34.0
北京,2026-01-27,35.0,excellent,16.0,35.0,28.0,3.0,0.45,43.0
北京,2026-01-28,61.0,good,37.0,72.0,39.0,6.0,0.79,26.0
北京,2026-01-29,69.0,good,50.0,83.0,35.0,4.0,0.75,30.0
北京,2026-01-30,109.0,lightly_polluted,82.0,120.0,47.0,3.0,0.92,18.0
北京,2026-01-31,84.0,good,62.0,87.0,37.0,3.0,0.73,34.0
北京,2026-02-01,40.0,excellent,25.0,40.0,28.0,3.0,0.48,44.0
北京,2026-02-02,32.0,excellent,11.0,24.0,23.0,3.0,0.38,53.0
北京,2026-02-03,60.0,good,41.0,71.0,48.0,4.0,0.69,25.0
北京,2026-02-04,82.0,good,61.0,95.0,53.0,5.0,0.83,30.0
北京,2026-02-05,39.0,excellent,17.0,39.0,14.0,3.0,0.38,62.0
北京,2026-02-06,35.0,excellent,3.0,13.0,8.0,3.0,0.27,65.0
北京,2026-02-07,32.0,excellent,5.0,16.0,13.0,2.0,0.34,56.0
北京,2026-02-08,31.0,excellent,16.0,31.0,22.0,3.0,0.43,48.0
北京,2026-02-09,75.0,good,55.0,88.0,49.0,4.0,0.76,23.0
北京,2026-02-10,72.0,good,53.0,89.0,37.0,4.0,0.66,39.0
北京,2026-02-11,40.0,excellent,19.0,40.0,21.0,3.0,0.48,51.0
北京,2026-02-12,65.0,good,42.0,80.0,33.0,5.0,0.68,46.0
北京,2026-02-13,73.0,good,52.0,96.0,33.0,5.0,0.77,55.0
北京,2026-02-14,64.0,good,44.0,79.0,22.0,4.0,0.63,62.0
北京,2026-02-15,39.0,excellent,3.0,18.0,3.0,3.0,0.28,74.0
北京,2026-02-16,36.0,excellent,12.0,25.0,6.0,3.0,0.37,66.0
北京,2026-02-17,69.0,good,50.0,67.0,14.0,5.0,0.52,58.0
北京,2026-02-18,40.0,excellent,17.0,30.0,7.0,3.0,0.38,72.0
北京,2026-02-19,55.0,good,37.0,60.0,17.0,5.0,0.62,63.0
北京,2026-02-20,74.0,good,54.0,89.0,25.0,5.0,0.69,71.0
北京,2026-02-21,137.0,lightly_polluted,73.0,224.0,22.0,5.0,0.68,70.0
北京,2026-02-22,40.0,excellent,7.0,39.0,2.0,2.0,0.3,76.0
北京,2026-02-23,40.0,excellent,10.0,33.0,8.0,3.0,0.4,69.0
北京,2026-02-24,64.0,good,35.0,79.0,20.0,5.0,0.7,59.0
北京,2026-02-25,102.0,lightly_polluted,77.0,135.0,33.0,4.0,1.08,24.0
北京,2026-02-26,75.0,good,55.0,94.0,23.0,3.0,0.71,40.0
北京,2026-02-27,39.0,excellent,24.0,39.0,17.0,3.0,0.56,45.0
北京,2026-02-28,71.0,good,52.0,71.0,25.0,3.0,0.78,36.0
北京,2026-03-01,91.0,good,68.0,92.0,26.0,3.0,0.9,35.0
北京,2026-03-02,115.0,lightly_polluted,87.0,104.0,27.0,3.0,1.11,29.0
北京,2026-03-03,100.0,good,75.0,91.0,19.0,3.0,0.88,56.0
北京,2026-03-04,61.0,good,44.0,61.0,18.0,3.0,0.64,50.0
北京,2026-03-05,70.0,good,51.0,59.0,20.0,3.0,0.74,46.0
北京,2026-03-06,30.0,excellent,19.0,25.0,21.0,3.0,0.49,49.0
北京,2026-03-07,74.0,good,54.0,73.0,30.0,3.0,0.67,43.0
北京,2026-03-08,69.0,good,50.0,66.0,24.0,3.0,0.61,57.0
北京,2026-03-09,39.0,excellent,11.0,18.0,19.0,3.0,0.38,64.0
北京,2026-03-10,88.0,good,65.0,95.0,37.0,4.0,0.67,52.0
北京,2026-03-11,50.0,excellent,34.0,50.0,26.0,3.0,0.5,62.0
北京,2026-03-12,96.0,good,72.0,108.0,27.0,5.0,0.74,82.0
北京,2026-03-13,91.0,good,68.0,100.0,46.0,4.0,0.71,39.0
北京,2026-03-14,42.0,excellent,26.0,42.0,19.0,3.0,0.46,58.0
北京,2026-03-15,59.0,good,42.0,67.0,27.0,3.0,0.56,46.0
北京,2026-03-16,61.0,good,41.0,72.0,29.0,4.0,0.54,65.0
北京,2026-03-17,141.0,lightly_polluted,108.0,147.0,41.0,5.0,0.92,55.0
北京,2026-03-18,42.0,excellent,9.0,18.0,11.0,3.0,0.32,77.0
北京,2026-03-19,54.0,good,25.0,57.0,29.0,4.0,0.42,58.0
北京,2026-03-20,57.0,good,31.0,64.0,27.0,4.0,0.45,56.0
